stage,rider,rider_url,km_first_group,km_before_peloton
8,GUERNALEC Thibault,https://www.procyclingstats.com/rider/thibault-guernalec,136.0,154.0
9,JOHANNESSEN Tobias Halland,https://www.procyclingstats.com/rider/tobias-halland-johannessen,94.0,94.0
9,VAN DER POEL Mathieu,https://www.procyclingstats.com/rider/mathieu-van-der-poel,90.0,97.0
9,BAUDIN Alex,https://www.procyclingstats.com/rider/alex-baudin,87.0,96.0
9,PIDCOCK Tom,https://www.procyclingstats.com/rider/tom-pidcock,82.0,92.0
9,SIMMONS Quinn,https://www.procyclingstats.com/rider/quinn-simmons,73.0,82.0
9,GEE-WEST Derek,https://www.procyclingstats.com/rider/derek-gee,65.0,80.0
9,VAN EETVELT Lennert,https://www.procyclingstats.com/rider/lennert-van-eetvelt,64.0,80.0
9,CASTRILLO Pablo,https://www.procyclingstats.com/rider/pablo-castrillo-zapater,64.0,77.0
9,ALAPHILIPPE Julian,https://www.procyclingstats.com/rider/julian-alaphilippe,16.0,16.0
9,KIRSCH Alex,https://www.procyclingstats.com/rider/alex-kirsch,13.0,13.0
9,HALLER Marco,https://www.procyclingstats.com/rider/marco-haller,10.0,10.0
9,COSTIOU Ewen,https://www.procyclingstats.com/rider/ewen-costiou,9.0,34.0
9,JEGAT Jordan,https://www.procyclingstats.com/rider/jordan-jegat,8.0,27.0
9,AZPARREN Xabier Mikel,https://www.procyclingstats.com/rider/xabier-mikel-azparren-irurzun,7.0,7.0
9,HESSMANN Michel,https://www.procyclingstats.com/rider/michel-hessmann,7.0,7.0
9,OLDANI Stefano,https://www.procyclingstats.com/rider/stefano-oldani,7.0,7.0
9,GODON Dorian,https://www.procyclingstats.com/rider/dorian-godon,7.0,7.0
9,HERMANS Quinten,https://www.procyclingstats.com/rider/quinten-hermans,7.0,7.0
9,CRAPS Lars,https://www.procyclingstats.com/rider/lars-craps,6.0,28.0
9,HIRSCHI Marc,https://www.procyclingstats.com/rider/marc-hirschi,6.0,28.0
9,IZAGIRRE Ion,https://www.procyclingstats.com/rider/ion-izagirre,6.0,28.0
9,PARET-PEINTRE Valentin,https://www.procyclingstats.com/rider/valentin-paret-peintre,6.0,24.0
9,FOSS Tobias,https://www.procyclingstats.com/rider/tobias-foss,5.0,13.0
9,BRAZ AFONSO Clément,https://www.procyclingstats.com/rider/clement-braz-afonso,4.0,23.0
9,STEINHAUSER Georg,https://www.procyclingstats.com/rider/georg-steinhauser,1.0,6.0
10,ROMO Javier,https://www.procyclingstats.com/rider/javier-romo,80.0,81.0
10,TEJADA Harold,https://www.procyclingstats.com/rider/harold-tejada,40.0,46.0
10,CARAPAZ Richard,https://www.procyclingstats.com/rider/richard-carapaz,27.0,34.0
10,VERVAEKE Louis,https://www.procyclingstats.com/rider/louis-vervaeke,25.0,52.0
10,BAUDIN Alex,https://www.procyclingstats.com/rider/alex-baudin,24.0,63.0
10,GARCÍA PIERNA Raúl,https://www.procyclingstats.com/rider/raul-garcia-pierna,24.0,49.0
10,VAUQUELIN Kévin,https://www.procyclingstats.com/rider/kevin-vauquelin,24.0,28.0
10,PARET-PEINTRE Valentin,https://www.procyclingstats.com/rider/valentin-paret-peintre,23.0,63.0
10,AZPARREN Xabier Mikel,https://www.procyclingstats.com/rider/xabier-mikel-azparren-irurzun,23.0,47.0
