rider,rider_url,date_of_birth,birth_year,nationality,height_m,weight_kg,bmi,place_of_birth
Dylan van Baarle,https://www.procyclingstats.com/rider/dylan-van-baarle,1992-05-21,1992,Netherlands,1.89,74.0,20.72,Voorburg
Mathis Le Berre,https://www.procyclingstats.com/rider/mathis-le-berre,2001-04-16,2001,France,1.76,68.0,21.95,Saint-Brieuc
Sean Quinn,https://www.procyclingstats.com/rider/sean-quinn,2000-05-10,2000,United States,1.87,67.0,19.16,Los Angeles
Dorian Godon,https://www.procyclingstats.com/rider/dorian-godon,1996-05-25,1996,France,1.89,74.0,20.72,Vitry-sur-Seine
Jenno Berckmoes,https://www.procyclingstats.com/rider/jenno-berckmoes,2001-02-04,2001,Belgium,1.77,61.0,19.47,Ghent
Emiel Verstrynge,https://www.procyclingstats.com/rider/emiel-verstrynge,2002-02-04,2002,Belgium,1.89,69.0,19.32,Eeklo
Joshua Tarling,https://www.procyclingstats.com/rider/joshua-tarling,2004-02-15,2004,Great Britain,1.94,78.0,20.72,Aberaeron
Sergio Higuita,https://www.procyclingstats.com/rider/sergio-higuita,1997-08-01,1997,Colombia,1.66,57.0,20.69,Medellín
Jai Hindley,https://www.procyclingstats.com/rider/jai-hindley,1996-05-05,1996,Australia,1.75,60.0,19.59,Perth
Marc Hirschi,https://www.procyclingstats.com/rider/marc-hirschi,1998-08-24,1998,Switzerland,1.74,61.0,20.15,Bern
Brandon McNulty,https://www.procyclingstats.com/rider/brandon-mcnulty,1998-04-02,1998,United States,1.83,69.0,20.6,Phoenix
Clément Braz Afonso,https://www.procyclingstats.com/rider/clement-braz-afonso,1999-11-08,1999,France,1.63,50.0,18.82,Brive-la-Gaillarde
Matteo Jorgenson,https://www.procyclingstats.com/rider/matteo-jorgenson,1999-07-01,1999,United States,1.9,69.0,19.11,Walnut Creek
Frank van den Broek,https://www.procyclingstats.com/rider/frank-van-den-broek,2000-12-28,2000,Netherlands,1.78,70.0,22.09,Warmond
Michel Hessmann,https://www.procyclingstats.com/rider/michel-hessmann,2001-04-06,2001,Germany,1.91,78.0,21.38,Münster
Nelson Oliveira,https://www.procyclingstats.com/rider/nelson-oliveira,1989-03-06,1989,Portugal,1.8,67.0,20.68,Anadia
Mattéo Vercher,https://www.procyclingstats.com/rider/matheo-vercher,2001-01-26,2001,France,1.71,,,Lyon
Nicolas Breuillard,https://www.procyclingstats.com/rider/nicolas-breuillard,2000-03-13,2000,France,1.75,,,Pertuis
Alex Kirsch,https://www.procyclingstats.com/rider/alex-kirsch,1992-06-12,1992,Luxembourg,1.94,78.0,20.72,Luxembourg
Ramses Debruyne,https://www.procyclingstats.com/rider/ramses-debruyne,2002-08-31,2002,Belgium,1.79,66.0,20.6,Rollegem
Quinten Hermans,https://www.procyclingstats.com/rider/quinten-hermans,1995-07-29,1995,Belgium,1.74,62.0,20.48,Antwerp
