rider,rider_url,date_of_birth,birth_year,nationality,height_m,weight_kg,bmi,place_of_birth
Jasper Philipsen,https://www.procyclingstats.com/rider/jasper-philipsen,1998-03-02,1998,Belgium,1.76,75.0,24.21,Mol
Biniam Girmay,https://www.procyclingstats.com/rider/biniam-girmay,2000-04-02,2000,Eritrea,1.84,70.0,20.68,Asmara
Søren Wærenskjold,https://www.procyclingstats.com/rider/soren-waerenskjold,2000-03-12,2000,Norway,1.95,92.0,24.19,Mandal
Anthony Turgis,https://www.procyclingstats.com/rider/anthony-turgis,1994-05-16,1994,France,1.78,70.0,22.09,Bourg-la-Reine
Matteo Trentin,https://www.procyclingstats.com/rider/matteo-trentin,1989-08-02,1989,Italy,1.79,74.0,23.1,Borgo Valsugana
Clément Russo,https://www.procyclingstats.com/rider/clement-russo,1995-01-20,1995,France,1.87,74.0,21.16,Lyon
Paul Penhoët,https://www.procyclingstats.com/rider/paul-penhoet,2001-12-28,2001,France,1.73,64.0,21.38,Clamart
Matteo Jorgenson,https://www.procyclingstats.com/rider/matteo-jorgenson,1999-07-01,1999,United States,1.9,69.0,19.11,Walnut Creek
Marius Mayrhofer,https://www.procyclingstats.com/rider/marius-mayrhofer,2000-09-18,2000,Germany,1.82,70.0,21.13,Tübingen
Samuel Watson,https://www.procyclingstats.com/rider/samuel-watson,2001-09-24,2001,Great Britain,1.88,68.0,19.24,Leeds
Mike Teunissen,https://www.procyclingstats.com/rider/mike-teunissen,1992-08-25,1992,Netherlands,1.84,73.0,21.56,Ysselsteyn
Iván García Cortina,https://www.procyclingstats.com/rider/ivan-garcia-cortina,1995-11-20,1995,Spain,1.83,77.0,22.99,Gijón
Niklas Märkl,https://www.procyclingstats.com/rider/niklas-markl,1999-03-03,1999,Germany,1.85,70.0,20.45,Queidersbach
Harry Sweeny,https://www.procyclingstats.com/rider/harry-sweeny,1998-07-09,1998,Australia,1.86,75.0,21.68,Warwick
Krists Neilands,https://www.procyclingstats.com/rider/krists-neilands,1994-08-18,1994,Latvia,1.89,69.0,19.32,Kuldīga
Kévin Vauquelin,https://www.procyclingstats.com/rider/kevin-vauquelin,2001-04-26,2001,France,1.76,69.0,22.28,Bayeux
Damien Touzé,https://www.procyclingstats.com/rider/damien-touze,1996-07-07,1996,France,1.74,69.0,22.79,Iville
Tadej Pogačar,https://www.procyclingstats.com/rider/tadej-pogacar,1998-09-21,1998,Slovenia,1.76,66.0,21.31,Klanec
Pascal Ackermann,https://www.procyclingstats.com/rider/pascal-ackermann,1994-01-17,1994,Germany,1.8,78.0,24.07,Kandel
Jonas Vingegaard,https://www.procyclingstats.com/rider/jonas-vingegaard,1996-12-10,1996,Denmark,1.75,58.0,18.94,Hillerslev
Jasper Stuyven,https://www.procyclingstats.com/rider/jasper-stuyven,1992-04-17,1992,Belgium,1.87,80.0,22.88,Leuven
Marco Haller,https://www.procyclingstats.com/rider/marco-haller,1991-04-01,1991,Austria,1.78,72.0,22.72,Sankt Veit an der Glan
Kaden Groves,https://www.procyclingstats.com/rider/kaden-groves,1998-12-23,1998,Australia,1.76,76.0,24.54,Gympie
Kasper Asgreen,https://www.procyclingstats.com/rider/kasper-asgreen,1995-02-08,1995,Denmark,1.93,75.0,20.13,Kolding
Joseph Blackmore,https://www.procyclingstats.com/rider/joseph-blackmore,2003-02-23,2003,Great Britain,1.81,66.0,20.15,Sidcup
Luka Mezgec,https://www.procyclingstats.com/rider/luka-mezgec,1988-06-27,1988,Slovenia,1.83,72.0,21.5,Kranj
Tiesj Benoot,https://www.procyclingstats.com/rider/tiesj-benoot,1994-03-11,1994,Belgium,1.9,72.0,19.94,Ghent
Mathieu van der Poel,https://www.procyclingstats.com/rider/mathieu-van-der-poel,1995-01-19,1995,Netherlands,1.84,75.0,22.15,Kapellen
Stian Edvardsen-Fredheim,https://www.procyclingstats.com/rider/stian-fredheim,2003-03-23,2003,Norway,1.84,72.0,21.27,Kristiansand
Tobias Halland Johannessen,https://www.procyclingstats.com/rider/tobias-halland-johannessen,1999-08-23,1999,Norway,1.76,62.0,20.02,Drøbak
Enric Mas,https://www.procyclingstats.com/rider/enric-mas,1995-01-07,1995,Spain,1.77,61.0,19.47,Artà
Tim Wellens,https://www.procyclingstats.com/rider/tim-wellens,1991-05-10,1991,Belgium,1.82,71.0,21.43,Sint-Truiden
Cyril Barthe,https://www.procyclingstats.com/rider/cyril-barthe,1996-02-14,1996,France,1.84,70.0,20.68,Sauveterre-de-Béarn
Jonas Abrahamsen,https://www.procyclingstats.com/rider/jonas-abrahamsen,1995-09-20,1995,Norway,1.83,78.0,23.29,Skien
Jonas Rickaert,https://www.procyclingstats.com/rider/jonas-rickaert,1994-02-07,1994,Belgium,1.9,88.0,24.38,Sint-Eloois-Vijve
Xandro Meurisse,https://www.procyclingstats.com/rider/xandro-meurisse,1992-01-31,1992,Belgium,1.81,68.0,20.76,Kortrijk
Davide Ballerini,https://www.procyclingstats.com/rider/davide-ballerini,1994-09-21,1994,Italy,1.83,71.0,21.2,Cantù
Edoardo Affini,https://www.procyclingstats.com/rider/edoardo-affini,1996-06-24,1996,Italy,1.9,85.0,23.55,Mantua
Jonathan Milan,https://www.procyclingstats.com/rider/jonathan-milan,2000-10-01,2000,Italy,1.94,84.0,22.32,Tolmezzo
Arnaud De Lie,https://www.procyclingstats.com/rider/arnaud-de-lie,2002-03-16,2002,Belgium,1.82,78.0,23.55,Libramont
Bryan Coquard,https://www.procyclingstats.com/rider/bryan-coquard,1992-04-25,1992,France,1.71,59.0,20.18,Saint-Nazaire
Jordi Meeus,https://www.procyclingstats.com/rider/jordi-meeus,1998-07-01,1998,Belgium,1.9,80.0,22.16,Lommel
Pavel Bittner,https://www.procyclingstats.com/rider/pavel-bittner,2002-10-29,2002,Czech Republic,1.84,73.0,21.56,Olomouc
Alberto Dainese,https://www.procyclingstats.com/rider/alberto-dainese,1998-03-25,1998,Italy,1.75,72.0,23.51,Abano Terme
Robert Stannard,https://www.procyclingstats.com/rider/robert-stannard,1998-09-16,1998,Australia,1.79,74.0,23.1,Sydney Previous nationalities New Zealand until 2016
Phil Bauhaus,https://www.procyclingstats.com/rider/phil-bauhaus,1994-07-08,1994,Germany,1.84,75.0,22.15,Bocholt
Tim Merlier,https://www.procyclingstats.com/rider/tim-merlier,1992-10-30,1992,Belgium,1.88,76.0,21.5,Wortegem-Petegem
Wout van Aert,https://www.procyclingstats.com/rider/wout-van-aert,1994-09-15,1994,Belgium,1.9,78.0,21.61,Herentals
Danny van Poppel,https://www.procyclingstats.com/rider/danny-van-poppel,1993-07-26,1993,Netherlands,1.84,82.0,24.22,Moergestel
Neilson Powless,https://www.procyclingstats.com/rider/neilson-powless,1996-09-03,1996,United States,1.83,67.0,20.01,Eglin
Markus Hoelgaard,https://www.procyclingstats.com/rider/markus-hoelgaard,1994-10-04,1994,Norway,1.88,74.0,20.94,Stavanger
Clément Berthet,https://www.procyclingstats.com/rider/clement-berthet,1997-08-02,1997,France,1.84,68.0,20.09,Pierre Bénite
Tobias Lund Andresen,https://www.procyclingstats.com/rider/tobias-lund-andresen,2002-08-20,2002,Denmark,1.81,69.0,21.06,Taastrup
Mattias Skjelmose,https://www.procyclingstats.com/rider/mattias-skjelmose-jensen,2000-09-26,2000,Denmark,1.8,65.0,20.06,Copenhagen
Jasper De Buyst,https://www.procyclingstats.com/rider/jasper-de-buyst,1993-11-24,1993,Belgium,1.79,72.0,22.47,Asse
Emanuel Buchmann,https://www.procyclingstats.com/rider/emanuel-buchmann,1992-11-18,1992,Germany,1.8,59.0,18.21,Ravensburg
Guillaume Boivin,https://www.procyclingstats.com/rider/guillaume-boivin,1989-05-25,1989,Canada,1.8,78.0,24.07,Montreal
João Almeida,https://www.procyclingstats.com/rider/joao-almeida,1998-08-05,1998,Portugal,1.78,63.0,19.88,Caldas da Rainha
