stage,rider,rider_url,km_first_group,km_before_peloton
1,THOMAS Benjamin,https://www.procyclingstats.com/rider/benjamin-thomas-2,94.0,95.0
1,VERCHER Mattéo,https://www.procyclingstats.com/rider/matheo-vercher,92.0,94.0
1,ARMIRAIL Bruno,https://www.procyclingstats.com/rider/bruno-armirail,77.0,78.0
1,LE BERRE Mathis,https://www.procyclingstats.com/rider/mathis-le-berre,77.0,78.0
1,RUTSCH Jonas,https://www.procyclingstats.com/rider/jonas-rutsch,77.0,78.0
1,GROVES Kaden,https://www.procyclingstats.com/rider/kaden-groves,14.0,14.0
1,ALBANESE Vincenzo,https://www.procyclingstats.com/rider/vincenzo-albanese,14.0,14.0
1,PHILIPSEN Jasper,https://www.procyclingstats.com/rider/jasper-philipsen,14.0,14.0
1,SWEENY Harry,https://www.procyclingstats.com/rider/harry-sweeny,14.0,14.0
1,POGAČAR Tadej,https://www.procyclingstats.com/rider/tadej-pogacar,14.0,14.0
1,VINGEGAARD Jonas,https://www.procyclingstats.com/rider/jonas-vingegaard,14.0,14.0
1,LIENHARD Fabian,https://www.procyclingstats.com/rider/fabian-lienhard,14.0,14.0
1,JORGENSON Matteo,https://www.procyclingstats.com/rider/matteo-jorgenson,14.0,14.0
1,BARTHE Cyril,https://www.procyclingstats.com/rider/cyril-barthe,14.0,14.0
1,GIRMAY Biniam,https://www.procyclingstats.com/rider/biniam-girmay,14.0,14.0
1,WATSON Samuel,https://www.procyclingstats.com/rider/samuel-watson,14.0,14.0
1,VAUQUELIN Kévin,https://www.procyclingstats.com/rider/kevin-vauquelin,14.0,14.0
1,PENHOËT Paul,https://www.procyclingstats.com/rider/paul-penhoet,14.0,14.0
1,TOUZÉ Damien,https://www.procyclingstats.com/rider/damien-touze,14.0,14.0
1,MEZGEC Luka,https://www.procyclingstats.com/rider/luka-mezgec,14.0,14.0
1,TEUNISSEN Mike,https://www.procyclingstats.com/rider/mike-teunissen,14.0,14.0
1,MEURISSE Xandro,https://www.procyclingstats.com/rider/xandro-meurisse,14.0,14.0
1,STUYVEN Jasper,https://www.procyclingstats.com/rider/jasper-stuyven,14.0,14.0
