stage,rank,status,gc_position,gc_timelag_seconds,bib,specialty,age,nationality_code,rider,rider_url,team,uci_points,pcs_points,time_raw,stage_gap_seconds,elapsed_seconds
7,109,finished,154,4021,24,Sprint,32,BE,Merlier Tim,https://www.procyclingstats.com/rider/tim-merlier,Soudal Quick-Step,,,",,",706,15445
7,110,finished,155,4048,27,Classic,32,BE,Van Lerberghe Bert,https://www.procyclingstats.com/rider/bert-van-lerberghe,Soudal Quick-Step,,,",,",706,15445
7,111,finished,102,2635,5,GC,28,FR,Sivakov Pavel,https://www.procyclingstats.com/rider/pavel-sivakov,UAE Team Emirates - XRG,,,",,",706,15445
7,112,finished,107,2725,205,Classic,25,FR,Louvel Matis,https://www.procyclingstats.com/rider/matis-louvel,Israel - Premier Tech,,,12:03,723,15462
7,113,finished,64,1685,207,Classic,30,LV,Neilands Krists,https://www.procyclingstats.com/rider/krists-neilands,Israel - Premier Tech,,,",,",723,15462
7,114,finished,62,1660,206,GC,32,KZ,Lutsenko Alexey,https://www.procyclingstats.com/rider/aleksey-lutsenko,Israel - Premier Tech,,,",,",723,15462
7,115,finished,128,3249,196,Sprint,26,DE,Märkl Niklas,https://www.procyclingstats.com/rider/niklas-markl,Team Picnic PostNL,,,12:24,744,15483
7,116,finished,156,4048,123,TT,34,AU,Durbridge Luke,https://www.procyclingstats.com/rider/luke-durbridge,Team Jayco AlUla,,,12:55,775,15514
7,117,finished,144,3835,125,Hills,37,SI,Mezgec Luka,https://www.procyclingstats.com/rider/luka-mezgec,Team Jayco AlUla,,,13:13,793,15532
7,118,finished,117,2888,56,Classic,30,SI,Mohorič Matej,https://www.procyclingstats.com/rider/matej-mohoric,Bahrain - Victorious,,,",,",793,15532
7,119,finished,91,2439,57,Hills,26,AU,Stannard Robert,https://www.procyclingstats.com/rider/robert-stannard,Bahrain - Victorious,,,",,",793,15532
7,120,finished,38,1039,51,Climber,25,CO,Buitrago Santiago,https://www.procyclingstats.com/rider/santiago-buitrago-sanchez,Bahrain - Victorious,,,",,",793,15532
